Block,Village,location,Latitude,Longitude,RL_(m),Hyd_Formation,Wl_post_202_m_bbgl,WL_pre_2021mbgl
Dudu,Nayagaon,"Nayagaon, Dudu, Rajasthan, India",26.6793016,75.1019942,372.93,Gneiss,2.1,3.7
Sambher,Sambhar,"Sambhar, Sambher, Rajasthan, India",26.9095549,75.1859476,373,Older Alluvium,11.85,10.05
Dudu,Naraina,"Naraina, Dudu, Rajasthan, India",26.6839366,75.2338077,375,Mica Schist,1.05,5.45
Dudu,Naraina,"Naraina, Dudu, Rajasthan, India",26.6839366,75.2338077,375,Schist,2.9,8.1
"Jamwa
Ramgarh",Naila,"Naila, Jamwa

Ramgarh, Rajasthan, India",26.9361935,75.9956673,376,Quartzite,55.7,56.8
Kotputli,Raghunathpura_Pz,"Raghunathpura_Pz, Kotputli, Rajasthan, India",27.6329611,76.1281012,376,"Younger
Alluvium",55.25,56.2
Dudu,Harsoli,"Harsoli, Dudu, Rajasthan, India",26.6198205,75.1798985,376.51,Gneiss,1.1,3
Bassi,Rajpura patalwas,"Rajpura patalwas, Bassi, Rajasthan, India",26.8099336,76.1754757,376.51,Quartzite Schist,68.3,68
Dudu,Bichun,"Bichun, Dudu, Rajasthan, India",26.7385388,75.2676035,377,Gneiss,9.2,12.1
Bassi,Deogaon,"Deogaon, Bassi, Rajasthan, India",26.7776559,76.0518427,378,Older Alluvium,44.9,51
Jamwaramgarh,Naila,"Naila, Jamwaramgarh, Rajasthan, India",26.9361935,75.9956673,378.62,Yr. Alluvium,48.6,53.9
Jhotwara,Budhpura_IMD,"Budhpura_IMD, Jhotwara, Rajasthan, India",26.9545943,75.7455944,379,Older Alluvium,51.25,51.1
Dudu,Dantri,"Dantri, Dudu, Rajasthan, India",26.6332484,75.1019942,379.58,Gneiss,5.8,9.8
Dudu,Naraina,"Naraina, Dudu, Rajasthan, India",26.6839366,75.2338077,379.83,Schist,1.6,4.2
Sambher,Sambher,"Sambher, Sambher, Rajasthan, India",26.9095549,75.1859476,380.15,Older Alluvium,8.5,9.2
Sanganer,Mathurawala,"Mathurawala, Sanganer, Rajasthan, India",26.740928,75.875181,381,Older Alluvium,9.6,8.9
Sanganer,Sanganer,"Sanganer, Sanganer, Rajasthan, India",26.8191641,75.7659513,381.3,Older Alluvium,47,45.75
Dudu,Bichun,"Bichun, Dudu, Rajasthan, India",26.7385388,75.2676035,382.04,Gneiss,8.55,9.85
Dudu,Mamana,"Mamana, Dudu, Rajasthan, India",26.8085233,75.0727956,383.2,Gneiss,3,3
Dudu,Korseena,"Korseena, Dudu, Rajasthan, India",26.6832448,75.2335695,383.85,Schist,12.2,15
Chaksu,Kheda Jgannathpura,"Kheda Jgannathpura, Chaksu, Rajasthan, India",26.7480418,75.9027714,384.52,Older Alluvium,7.7,8.6
Sambher,Phulera,"Phulera, Sambher, Rajasthan, India",26.9095549,75.1859476,384.87,Older Alluvium,4,4.5
Dudu,Sali,"Sali, Dudu, Rajasthan, India",26.7234486,75.023876,385,Gneiss,2.5,4.2
Sambher,Phulera,"Phulera, Sambher, Rajasthan, India",26.9095549,75.1859476,387,Older Alluvium,6.25,4.6
Dudu,Sursingpura,"Sursingpura, Dudu, Rajasthan, India",26.6832448,75.2335695,387,Gneiss,41.3,45.7
Jamwaramgarh,Saipura,"Saipura, Jamwaramgarh, Rajasthan, India",26.9879743,75.9376146,387.51,Yr. Alluvium,64.9,64.9
Jhotwara,DURGAPURA,"DURGAPURA, Jhotwara, Rajasthan, India",26.8517972,75.7862232,388,Older Alluvium,61.1,60.1
Dudu,Khorsina,"Khorsina, Dudu, Rajasthan, India",26.6832448,75.2335695,388,Mica Schist,12.1,14.6
Jamwaramgarh,Malawala,"Malawala, Jamwaramgarh, Rajasthan, India",27.0151391,75.978254,392.63,Yr. Alluvium,58,52.3
Sanganer,Mathurawala,"Mathurawala, Sanganer, Rajasthan, India",26.740928,75.875181,393.11,Older Alluvium,2.5,4.6
Jamwaramgarh,Phootolao,"Phootolao, Jamwaramgarh, Rajasthan, India",27.0401172,76.1696791,393.21,Quartzite Schist,32.6,27.4
Jhotwara,Begus,"Begus, Jhotwara, Rajasthan, India",26.9545943,75.7455944,395.35,Yr. Alluvium,66.1,65.6
Bassi,Jhajhwad,"Jhajhwad, Bassi, Rajasthan, India",26.8419275,76.0521171,395.74,Yr. Alluvium,50.8,52.25
Jhotwara,AMBER,"AMBER, Jhotwara, Rajasthan, India",26.9545943,75.7455944,396,"Younger
Alluvium",10.2,10.8
Sanganer,Heerapura(Dhawas),"Heerapura(Dhawas), Sanganer, Rajasthan, India",26.8191641,75.7659513,396,Quartzite Schist,77.9,77.5
Jhotwara,"MANSAROVAR
GWD","MANSAROVAR GWD, Jhotwara, Rajasthan, India",26.8504593,75.7627702,396,Older Alluvium,50.25,36.35
